# beat|mode|scene|action|camera|light|mood|search (source:terms;source:terms)
# modes: F archival film, P archival photo, S modern stock, G graphic board, B AI b&w, C AI colour, R AI cinematic recreation
230|G|Cream graph-paper board, bar chart 1963 30% → 1975 7%|bars drop|TOP|||
231|B|1970s: an empty wire milk crate on a quiet porch at dawn|slow push-in|CU|DAWN|GRIEF|
232|G|Cream graph-paper board, bar shrinking to TODAY: UNDER 1%|bar shrinks|TOP|||
233|S|an empty front porch in the morning light|slow push-in|MS|DAWN|QUIET|pexels:front porch morning
234|B|1960s: a milk truck driving away down an empty street at dawn|the truck fades into the distance|BACK|DAWN|GRIEF|
235|G|Grey graph-paper board, giant semi-transparent #15, curved label RAILROAD FIREMAN arcing over a cut-out coal shovel|number slams in, shovel slides in|TOP|||
236|F|a steam locomotive thundering across open country|the train thunders past|WS|DAY|PRIDE|prelinger:steam locomotive;prelinger:railroad
237|P|an engineer and fireman in a locomotive cab|slow push-in|MS|FIRE|PRIDE|fsa:locomotive fireman;fsa-color:railroad engineer
238|P|a fireman shoveling coal into the firebox|slow push-in|MS|FIRE|PRIDE|fsa:fireman shoveling coal;fsa:locomotive cab
239|B|1950s: a fireman shoveling coal into a roaring locomotive firebox, lit orange, sweat on his brow, seen from the side|he swings the shovel|MS|FIRE|PRIDE|
240|C|1950s: a fireman leaning out of a locomotive cab window watching the track ahead|he squints down the line|OTS|DAY|PRIDE|
241|B|1950s: an engineer showing a young fireman the controls inside the cab|the engineer points at a gauge|OTS|FIRE|PRIDE|
242|P|a busy railroad yard|slow pan|WS|DAY|NOS|fsa:rail yard;fsa-color:railroad yard
243|C|1950s: a small brick house a block from a rail yard, a fireman in overalls walking home with his lunch pail|he walks home|BACK|DUSK|NOS|
244|F|a diesel locomotive rolling past|the diesel rolls past|WS|DAY|COLD|prelinger:diesel locomotive;prelinger:diesel train
245|P|railroad union men at a meeting|slow push-in|MS|TUNG|TENSE|loc:railroad union meeting;fsa:railroad workers
246|R|1960s: railroad executives in a boardroom around a table with a model diesel locomotive|one pushes papers across the table|OTS|FLUOR|COLD|
247|G|Cream graph-paper board, stamp 1963 · CONGRESS ORDERS ARBITRATION over a cut-out gavel|gavel strikes|TOP|||
248|P|the United States Capitol|slow push-in|WS|DAY|COLD|loc:United States Capitol;nara:Capitol building
249|G|Cream graph-paper board, ten fireman icons in a row, nine fade out|icons fade|TOP|||
250|B|1960s: a diesel cab with one engineer at the controls and an empty second seat|slow push-in on the empty seat|CU|DAY|GRIEF|
251|S|a long freight train rolling through the countryside today|the train passes|WS|DAY|QUIET|pexels:freight train;prelinger:freight train
252|B|1960s: an empty fireman's seat in a locomotive cab, a coal shovel leaning against the wall|dust floats in the light|CU|DAY|GRIEF|
253|G|Grey graph-paper board, giant semi-transparent #14, curved label TYPESETTER arcing over a cut-out bar of metal type|number slams in, type slides in|TOP|||
254|G|Grey graph-paper board, the JOB FOR LIFE stamp from the opening reappears and pulses|stamp pulses|TOP|||
255|B|1960s: a typesetter in shirtsleeves and a green visor, seen from behind at a large line-casting machine|he works the keyboard|OTS|TUNG|PRIDE|
256|P|a newspaper composing room full of typesetting machines|slow pan|WS|FLUOR|PRIDE|fsa:linotype;loc:composing room newspaper
257|F|a hot-metal typesetting machine in operation|the machine clatters|MS|TUNG|PRIDE|prelinger:linotype;prelinger:newspaper printing
258|B|1960s: the molten lead pot and gears of a hot-metal typesetting machine, glowing metal|brass matrices drop into place|CU|TUNG|PRIDE|
259|B|1960s: hands lifting a freshly cast bar of lead type from a machine tray|he lifts the shining bar|CU|TUNG|PRIDE|
260|P|a typesetter at his machine|slow push-in|MS|TUNG|PRIDE|fsa:linotype operator;loc:linotype operator
261|C|1960s: a group of printers in aprons standing proudly in a composing room|they fold their arms|WS|FLUOR|PRIDE|
262|G|Cream graph-paper board, label ONE OF THE BEST-PAID UNIONS|label arcs in|TOP|||
263|C|1960s: a typesetter and his wife in front of their brick house|they smile at each other|WS|DAY|PRIDE|
264|C|1960s: a proud father in a suit hugging his son at a college graduation|they embrace|MS|DAY|PRIDE|
265|F|1970s: computer typesetting equipment with a glowing screen|the screen glows with lines of text|CU|FLUOR|COLD|prelinger:phototypesetting;prelinger:computer 1970s
266|G|Cream graph-paper board, label 1974 · THE DEAL over a pinned photo of a city newspaper building|label slides in|TOP|||
267|R|1974: union men and newspaper executives shaking hands across a long negotiating table|two men shake hands|OTS|FLUOR|TENSE|
268|G|Cream graph-paper board, stamp JOB FOR LIFE thumps onto a cut-out contract|stamp thumps|TOP|||
269|G|Cream graph-paper board, date JULY 1, 1978 types out, label LAST NIGHT OF HOT METAL|date types out|TOP|||
270|B|1978: a darkened composing room at night, one lamp still on over a silent typesetting machine|the lamp clicks off|WS|NIGHT|GRIEF|
271|C|1980s: an older printer walking out of a newspaper building on his last day, carrying a small box|he walks away|BACK|DUSK|GRIEF|
272|B|1980s: rows of silent hot-metal typesetting machines covered in dust sheets in an empty room|slow pan|WS|WIN|GRIEF|
273|G|Grey graph-paper board, giant semi-transparent #13, curved label LONGSHOREMAN arcing over a cut-out steel cargo hook|number slams in, hook slides in|TOP|||
274|F|1940s: longshoremen unloading a ship on the docks|men carry sacks down the gangway|WS|DAY|PRIDE|prelinger:longshoremen;prelinger:docks unloading
275|P|a longshoreman carrying a heavy sack|slow push-in|MS|DAY|PRIDE|fsa:longshoremen;loc:stevedores
276|B|1950s: longshoremen unloading coffee sacks and banana bunches from a cargo ship hold with hooks|a man hoists a sack|MS|DAY|PRIDE|
277|P|a busy harbor waterfront lined with ships|slow pan|WS|DAY|PRIDE|loc:New York waterfront;loc:New Orleans docks
278|F|cargo swung from a ship's hold in a rope sling|the sling rises|MS|DAY|PRIDE|prelinger:cargo ship loading;prelinger:harbor
279|B|1950s: a longshoreman's hand gripping a steel cargo hook sunk into a burlap sack|he pulls|CU|DAY|PRIDE|
280|P|dock workers gathered on a rough waterfront|slow push-in|MS|OVC|TENSE|loc:longshoremen shape-up;fsa:dock workers
281|C|1950s: a longshoreman opening his pay envelope at the end of a shift on the pier|he counts the bills|MS|DUSK|PRIDE|
282|P|a crowd of longshoremen on the pier|slow pan|WS|DAY|PRIDE|loc:longshoremen crowd;loc:longshoremen
283|P|Brooklyn row houses|slow push-in|WS|DAY|NOS|fsa:Brooklyn row houses;loc:Hoboken
284|G|Cream graph-paper board, label APRIL 1956 · 58 BOXES over a cut-out shipping container|container slides in|TOP|||
285|G|Cream graph-paper board, a map line drawing from Port Newark to Houston|line draws|TOP|||
286|F|a container crane lifting a box onto a ship|the crane lifts a box|WS|DAY|COLD|prelinger:container ship;nara:container port
287|S|a modern container port with giant cranes|slow push-in|WS|DAY|COLD|pexels:container port crane
288|B|1950s: a gang of longshoremen standing idle on a pier watching a crane lift a container|they watch|BACK|OVC|GRIEF|
289|G|Cream graph-paper board, bar LOADING COST falling to a sliver|bar drops|TOP|||
290|B|1960s: an empty old pier with rotting pilings and no ships|gulls drift overhead|WS|OVC|GRIEF|
291|S|a huge container ship at sea from above|slow pan|AER|DAY|COLD|pexels:container ship aerial
292|B|1970s: a row house street near an empty waterfront, boarded windows, an old man sitting on a stoop|he sits still|WS|OVC|GRIEF|
293|G|Grey graph-paper board, giant semi-transparent #12, curved label TOOL & DIE MAKER arcing over a cut-out micrometer|number slams in, micrometer slides in|TOP|||
294|F|a factory line turning out cans and parts|cans stream past|MS|FLUOR|PRIDE|prelinger:can manufacturing;prelinger:factory production
295|P|a toolmaker at his machine|slow push-in|MS|FLUOR|PRIDE|fsa:tool and die;fsa:toolmaker
296|B|1950s: a tool and die maker in safety glasses guiding a milling machine through a steel die block, metal curls flying|he turns the wheel|CU|FLUOR|PRIDE|
297|B|1950s: a micrometer measuring a polished steel part|the thimble turns|CU|FLUOR|PRIDE|
298|P|an apprentice working beside an older machinist|slow push-in|MS|FLUOR|PRIDE|fsa-color:machinist;fsa:apprentice machinist
299|C|1960s: a proud tool and die maker in a clean shop apron standing by his machine while others look on|he folds his arms|MS|FLUOR|PRIDE|
300|G|Cream graph-paper board, label TOP BLUE-COLLAR WAGE arcing over a pinned machinist photo|label arcs in|TOP|||
301|C|1960s: a family hitching a small fishing boat on a trailer in front of their house|the father tightens a strap|WS|DAY|NOS|
302|C|1960s: a lakeside cottage at sunset, a family on the wooden dock|the kids jump into the lake|WS|DUSK|NOS|
303|B|1960s: a father showing his teenage son how to read a blueprint at a workbench|he points at the drawing|OTS|TUNG|PRIDE|
304|P|a father and son working together|slow push-in|MS|DAY|PRIDE|fsa:father and son;fsa:young machinist
305|G|Cream graph-paper board, map arrows drawing from the Midwest to the South, then to Mexico|arrows draw|TOP|||
306|G|Cream graph-paper board, the arrow continues across the ocean to China, label AFTER 2000|arrow draws|TOP|||
307|S|an abandoned machine shop|slow pan|WS|OVC|STARK|pexels:abandoned machine shop;pexels:abandoned factory interior
308|R|2010s: a factory manager in a glass office looking at an empty shop floor through the window|he rubs his neck|OTS|FLUOR|COLD|
309|B|1970s: an empty workbench with a dusty micrometer and a tool rack|slow push-in|CU|WIN|GRIEF|
310|S|an empty modern factory aisle|slow push-in|WS|FLUOR|STARK|pexels:empty factory;pexels:empty warehouse
311|G|Grey graph-paper board, giant semi-transparent #11, curved label COAL MINER arcing over a cut-out miner's helmet with lamp|number slams in, helmet slides in|TOP|||
312|G|Cream graph-paper board, counter rolling to 400,000+ with label 1950|counter rolls|TOP|||
313|F|coal miners riding the cage down into the mine|the cage descends|MS|NIGHT|PRIDE|prelinger:coal mining;nara:coal miners
314|P|coal miners with dust-blackened faces|slow push-in|MS|OVC|PRIDE|fsa:coal miners;nara:DOCUMERICA coal miner
315|P|coal miners on strike|slow push-in|WS|DAY|TENSE|loc:coal strike;fsa:mine union
316|G|Cream graph-paper board, three stamps WAGES • HEALTH FUND • PENSION|stamps thump down|TOP|||
317|P|coal camp houses on a hillside|slow pan|WS|OVC|NOS|fsa:coal camp;fsa:coal town houses
318|C|1950s: a miner's children walking to school down a hollow road, their father watching from the porch|the kids wave back|BACK|DAWN|HOPE|
319|B|1950s: miners with headlamps in a low dark tunnel, one lit by his lamp|he swings a pick|MS|NIGHT|TENSE|
320|C|1950s: a miner's wife watching from her kitchen window as her husband walks toward the mine|she watches|OTS|DAWN|TENSE|
321|F|a continuous mining machine tearing coal from the seam|the machine chews into the coal|MS|NIGHT|COLD|prelinger:continuous miner;prelinger:mining machinery
322|B|1950s: a huge mining machine with a spinning cutting drum tearing coal from a seam, dust flying|the drum spins|MS|NIGHT|COLD|
323|B|1960s: miners handing in their lamps at a window one last time|lamps are hung on hooks|MS|FLUOR|GRIEF|
324|G|Cream graph-paper board, counter falling 400,000 → ABOUT 1/3|counter rolls down|TOP|||
325|P|a 1970s coal town in decline|slow push-in|WS|OVC|GRIEF|nara:DOCUMERICA coal town;nara:DOCUMERICA Appalachia
326|S|a strip mine from above|slow pan|AER|OVC|STARK|pexels:strip mine aerial;pexels:coal mine aerial
327|F|a coal train rolling out of the mountains|the train rolls|WS|DAY|COLD|prelinger:coal train;pexels:coal train
328|B|1970s: an out-of-work miner sitting on the porch of a hillside house in the hollow, mountains behind|he stares out|MS|OVC|GRIEF|
329|C|1970s: an empty coal-town main street in a hollow, a closed store, a lone dog|the dog walks across the road|WS|OVC|GRIEF|
330|G|Grey graph-paper board, giant semi-transparent #10, curved label MEATPACKER arcing over a cut-out butcher's hook|number slams in, hook slides in|TOP|||
331|G|Cream graph-paper board, the JULY 30, 1971 date from the opening reappears and pulses|date pulses|TOP|||
332|P|the Union Stock Yards of Chicago from above|slow pan|AER|DAY|PRIDE|loc:Union Stock Yards Chicago;loc:stockyards
333|P|a big-city meat packing plant|slow push-in|WS|DAY|PRIDE|fsa:packing plant;fsa:meat packing
334|F|packinghouse workers on the line|workers cut on the line|MS|FLUOR|PRIDE|prelinger:meat packing;prelinger:packing house
335|B|1950s: packinghouse workers in white smocks and hard hats on a cold processing line, breath visible|they work the line|MS|FLUOR|TENSE|
336|P|packinghouse workers at a union rally|slow push-in|WS|DAY|PRIDE|loc:packinghouse workers union;fsa:packinghouse workers
337|G|Cream graph-paper board, two equal wage bars MEATPACKER ≈ AUTOWORKER|bars rise together|TOP|||
338|C|1960s: a meatpacker and his family in front of a small house a few blocks from the plant, sedan in the driveway|the kids sit on the steps|WS|DAY|PRIDE|
339|P|a father in work clothes with his children outside their home|slow push-in|MS|DUSK|NOS|fsa:father and children;fsa:worker family
340|R|1960s: a sleek new windowless packing plant alone on open prairie, tiny cars in the lot|slow push-in|AER|DAY|COLD|
341|R|1960s: executives in short sleeves and ties touring a new automated processing line|one of them points|OTS|FLUOR|COLD|
342|G|Cream graph-paper board, map pins moving from big cities to small rural towns, label FAR FROM THE UNIONS|pins move|TOP|||
343|B|1960s: boxed meat cartons sliding off a conveyor into a refrigerated truck|boxes slide down the conveyor|MS|FLUOR|COLD|
344|P|an old city packinghouse building|slow push-in|WS|OVC|GRIEF|loc:packing house HAER;loc:meat packing plant
345|S|the old stone stockyard gate in Chicago today|slow push-in|MS|OVC|GRIEF|wiki:Union Stock Yard Gate;pexels:old stone gate
346|G|Cream graph-paper board, a wage bar cut in half with label 1980s|bar drops|TOP|||
347|S|a modern meat processing plant exterior|slow push-in|WS|OVC|COLD|pexels:meat processing plant;pexels:food factory
348|B|1970s: empty wooden stockyard pens with broken gates under a grey sky|wind moves the grass|WS|OVC|GRIEF|
349|G|Grey graph-paper board, giant semi-transparent #9, curved label FAMILY DAIRY FARMER arcing over a cut-out milk can|number slams in, can slides in|TOP|||
350|P|a family dairy farm|slow push-in|WS|DAY|NOS|fsa-color:dairy farm;fsa:dairy farm
351|G|Cream graph-paper board, map of Wisconsin, New York, Vermont and Pennsylvania filling with dots, label HUNDREDS OF THOUSANDS OF FARMS|dots multiply|TOP|||
352|C|1960s: a dairy farmer walking forty cows toward a red barn at dusk|the cows amble in|WS|DUSK|NOS|
353|C|1960s: a classic red barn and silo on a green hillside farm|slow push-in|WS|DAY|NOS|
354|B|1960s: husband and wife working side by side milking cows in a barn|she carries a full pail|MS|WIN|PRIDE|
355|P|a farmer standing on his land|slow push-in|WS|DAY|PRIDE|fsa:dairy farmer;fsa-color:farmer
356|F|a farmer and his son walking the fields together|father and son walk the field|WS|DAY|NOS|prelinger:dairy farm;prelinger:farm family
357|B|1960s: a farmer milking by lantern light before dawn, snow outside the barn door|milk streams into the pail|CU|DAWN|PRIDE|
358|C|1960s: farm families at a Sunday church potluck in a small-town church hall|people pass plates|WS|DAY|NOS|
359|P|a small-town feed store|slow push-in|WS|DAY|NOS|fsa:feed store;fsa:farmers town
360|P|a rural schoolhouse|slow push-in|WS|DAY|NOS|fsa:rural school;fsa:schoolhouse
361|S|a large modern dairy barn full of cows|slow pan|WS|FLUOR|COLD|pexels:dairy farm cows;prelinger:milking machine
362|G|Cream graph-paper board, icon comparison 40 COWS vs THOUSANDS|icons multiply|TOP|||
363|C|1970s: a farm auction, neighbors in caps gathered around equipment in a muddy yard, the auctioneer on a wagon|the auctioneer gestures|WS|OVC|GRIEF|
364|B|1970s: a farm couple on their porch watching a stranger drive their tractor away down the lane|the tractor recedes|OTS|OVC|GRIEF|
365|G|Cream graph-paper board, counter falling to UNDER 30,000 DAIRY HERDS TODAY|counter drops|TOP|||
366|S|an abandoned red barn|slow push-in|WS|OVC|STARK|pexels:abandoned barn;pixabay:old red barn
367|B|1970s: an empty barn with stanchions and a single milk pail on the floor|slow push-in|CU|WIN|GRIEF|
368|G|Cream graph-paper board, label PATTERN BREAK #2|label builds|TOP|||
369|G|Cream graph-paper board, a blank ledger page with a pencil|the pencil moves across the page|TOP|||
370|P|a brand new house in the 1960s|slow push-in|WS|DAY|NOS|loc:new house;nara:suburban house 1960s
371|G|Cream graph-paper board, 1965 NEW HOUSE ≈ $20,000 types out|price types out|TOP|||
372|G|Cream graph-paper board, FAMILY INCOME ≈ $7,000 A YEAR types out|figure types out|TOP|||
373|C|1960s: a young couple signing mortgage papers at a bank desk|the pen signs|OTS|TUNG|HOPE|
374|G|Cream graph-paper board, a house icon balanced against 3 paycheck icons, label ≈ 3 YEARS OF ONE PAYCHECK|icons stack|TOP|||
375|G|Cream graph-paper board, the same house against 5+ paycheck icons from two earners, label TODAY: 5+ YEARS, 2 PAYCHECKS|icons stack|TOP|||
376|S|a modern working couple exhausted at home|slow push-in|MS|TUNG|COLD|pexels:tired parents;pexels:couple working late
377|P|a milkman on his route|slow push-in|MS|DAY|NOS|fsa:milkman;loc:milk delivery
378|P|a coal miner portrait|slow push-in|MS|OVC|PRIDE|fsa:coal miner
379|C|1960s: ordinary workers in different uniforms walking home down a residential street at dusk|they walk home|BACK|DUSK|PRIDE|
380|G|Cream graph-paper board, a cut-out union contract with the stamp THE DEAL|stamp thumps down|TOP|||
381|F|a factory shift change, workers pouring through the gates|workers pour out|WS|DAY|PRIDE|prelinger:shift change factory;prelinger:factory workers leaving
382|P|a big factory in its prime|slow push-in|WS|DAY|PRIDE|loc:factory;fsa:factory
383|G|Cream graph-paper board, label THE FINAL ENTRIES|label builds|TOP|||
384|B|1960s: hands tearing a typed contract in two over a desk|the paper rips|CU|TUNG|COLD|
385|G|Grey graph-paper board, giant semi-transparent #8, curved label LOOM FIXER arcing over a cut-out wrench and loom shuttle|number slams in, tools slide in|TOP|||
386|P|the inside of a textile mill|slow pan|WS|WIN|PRIDE|fsa:textile mill;loc:cotton mill weave room
387|F|weaving looms running at full speed|shuttles fly|MS|WIN|PRIDE|prelinger:textile mill;prelinger:weaving
388|B|1950s: a loom fixer in overalls kneeling at a jammed loom, tools spread out|he reaches into the gears|MS|WIN|TENSE|
389|B|1950s: a loom fixer's hands fitting a new part into a loom mechanism|the part clicks into place|CU|WIN|PRIDE|
390|C|1950s: a long weave room full of looms, weavers waiting as the fixer walks down the aisle|he walks the aisle|BACK|WIN|PRIDE|
391|P|a weave room full of looms and workers|slow push-in|WS|WIN|PRIDE|fsa:weave room;loc:weaving room mill
392|G|Cream graph-paper board, label BEST-PAID JOB ON THE FLOOR|label arcs in|TOP|||
393|C|1950s: a young mill hand watching the loom fixer work, admiring|he watches closely|OTS|WIN|HOPE|
394|P|a Southern mill village|slow pan|WS|DAY|NOS|fsa:mill village;fsa:mill town houses
395|C|1950s: a loom fixer and his wife in front of their own small white house, keys in hand|she hugs him|WS|DAY|PRIDE|
396|P|rows of company-owned mill houses|slow push-in|WS|DAY|NOS|fsa:company houses mill;fsa:mill houses
397|C|1950s: children walking into a new brick high school|they climb the steps|WS|DAY|HOPE|
398|G|Cream graph-paper board, arrows drawing into the United States from overseas, label CHEAP CLOTH|arrows draw|TOP|||
399|B|1970s: a mill department with half the looms covered in sheets, one fixer working alone|he looks around the empty room|WS|FLUOR|GRIEF|
400|G|Cream graph-paper board, stamp 1990s–2000s · TRADE BARRIERS FALL|stamp thumps down|TOP|||
401|S|an abandoned textile mill|slow pan|WS|OVC|STARK|pexels:abandoned textile mill;pexels:abandoned mill
402|G|Cream graph-paper board, counter HUNDREDS OF MILLS CLOSED|counter rolls|TOP|||
403|R|2000s: workers loading old looms onto a flatbed truck outside a brick mill|a forklift lifts a loom|WS|OVC|COLD|
404|B|1950s: a loom fixer wiping his hands, looking over a running weave room|he nods|MS|WIN|PRIDE|
405|S|an empty mill interior with tall windows|slow push-in|WS|WIN|STARK|pexels:empty mill interior;pexels:abandoned factory windows
406|G|Grey graph-paper board, giant semi-transparent #7, curved label LONG-HAUL TRUCK DRIVER arcing over a cut-out steering wheel|number slams in, wheel slides in|TOP|||
407|G|Cream graph-paper board, 1964 stamped large|year stamps in|TOP|||
408|P|Teamsters leader Jimmy Hoffa|slow push-in|MS|FLASH|TENSE|loc:James Hoffa;loc:Hoffa Teamsters
409|F|trucks rolling down a 1960s highway|a truck rolls past|WS|DAY|PRIDE|prelinger:trucking;prelinger:highway trucks
410|G|Cream graph-paper board, label ONE OF THE BEST BLUE-COLLAR DEALS|label arcs in|TOP|||
411|P|a truck driver with his rig|slow push-in|MS|DAY|PRIDE|fsa:truck driver;fsa-color:truck
412|C|1960s: a trucker returning home to his small ranch house, kids running to the cab|he climbs down from the cab|WS|DUSK|NOS|
413|C|1960s: a big rig on an open two-lane highway across wide plains at sunset|the truck rolls on|AER|DUSK|PRIDE|
414|B|1960s: a trucker at a diner counter at night with a cup of coffee, a jukebox glowing behind him|he sips his coffee|OTS|NIGHT|NOS|
415|G|Cream graph-paper board, stamp 1980 · DEREGULATION|stamp thumps down|TOP|||
416|R|1980s: a new trucking company office, young men at desks, a fleet of plain trucks through the window|a man signs a contract|OTS|FLUOR|COLD|
417|R|1980s: a closed truck terminal with chained gates and parked trucks|the chain sways|WS|OVC|GRIEF|
418|G|Cream graph-paper board, counter HUNDREDS OF CARRIERS BANKRUPT|counter rolls|TOP|||
419|R|1980s: a trucker reading a mileage pay sheet in his cab at night under the dome light|he rubs his eyes|OTS|NIGHT|COLD|
420|S|a truck driver on the road at night|slow push-in|OTS|NIGHT|COLD|pexels:truck driver night;pexels:trucker night
421|G|Cream graph-paper board, line chart REAL PAY falling across the decades|the line falls|TOP|||
422|S|a highway full of trucks from above|slow pan|AER|DAY|COLD|pexels:highway trucks aerial
423|S|a driver's view from a truck cab|slow push-in|OTS|DAY|QUIET|pexels:truck driver cab;pexels:truck cab driving
424|B|1960s: a small house at night with one lit window, a truck parked outside|the light goes out|WS|NIGHT|GRIEF|
425|S|an endless empty highway at dusk|slow push-in|WS|DUSK|QUIET|pexels:empty highway;pexels:empty road sunset
426|G|Grey graph-paper board, giant semi-transparent #6, curved label BREWERY WORKER arcing over a cut-out wooden beer barrel|number slams in, barrel slides in|TOP|||
427|P|a Milwaukee brewery in its heyday|slow push-in|WS|DAY|PRIDE|loc:Milwaukee brewery;loc:Milwaukee
428|G|Cream graph-paper board, four text labels pop in SCHLITZ • PABST • BLATZ • MILLER (text only, no logos)|labels pop in|TOP|||
429|F|beer bottles filling on a brewery line|bottles fill|MS|FLUOR|PRIDE|prelinger:brewery;prelinger:bottling
430|P|a neighborhood tavern and houses|slow push-in|WS|DAY|NOS|fsa:tavern;loc:Milwaukee neighborhood
431|B|1950s: brewery workers in white shirts and caps tending huge copper brew kettles|steam rises|MS|TUNG|PRIDE|
432|C|1950s: brewery workers on break laughing around a table, glasses of beer in hand|they raise a toast|MS|TUNG|NOS|
433|B|1950s: a foamy glass of beer on a break-room table, work gloves beside it|the foam settles|CU|TUNG|NOS|
434|P|two-family duplex houses in Milwaukee|slow push-in|WS|DAY|NOS|loc:Milwaukee duplex;loc:Polish flat Milwaukee
435|F|children lining up outside a parish school|the kids line up|WS|DAY|NOS|prelinger:parochial school;prelinger:school children 1950s
436|G|Cream graph-paper board, many brewer icons merging into three large ones|icons merge|TOP|||
437|F|a fast automated bottling line|the conveyor races|WS|FLUOR|COLD|prelinger:automated bottling plant;prelinger:bottling
438|R|1970s: advertising executives reviewing television commercial storyboards in a conference room|one of them points|OTS|FLUOR|COLD|
439|R|1970s: brewery executives around a boardroom table, one sliding a cost report forward|he slides the report|OTS|FLUOR|COLD|
440|B|1970s: a customer in a tavern pushing a nearly full glass of beer away and leaving|the glass slides away|MS|TUNG|GRIEF|
441|G|Cream graph-paper board, two stamps 1981 CLOSED and 1996 CLOSED|stamps thump down|TOP|||
442|S|an old brewery complex standing empty|slow push-in|WS|OVC|STARK|pexels:abandoned brewery;wiki:Pabst brewery Milwaukee
443|B|1980s: an empty brewhouse with cold copper kettles|slow pan|WS|WIN|GRIEF|
444|G|Grey graph-paper board, giant semi-transparent #5, curved label FURNITURE MAKER arcing over a cut-out wooden chair|number slams in, chair slides in|TOP|||
445|P|a Grand Rapids furniture factory|slow push-in|WS|DAY|PRIDE|loc:Grand Rapids furniture;loc:furniture factory
446|G|Cream graph-paper board, map pins drop on HIGH POINT • HICKORY • BASSETT|pins drop|TOP|||
447|F|craftsmen building furniture in a factory|a worker sands a table|MS|WIN|PRIDE|prelinger:furniture;prelinger:furniture factory
448|C|1960s: a family around a solid wood dining table at Sunday dinner|the father carves the roast|WS|TUNG|NOS|
449|C|1960s: a young couple admiring a new bedroom set in a furniture showroom|they run their hands over the dresser|MS|TUNG|NOS|
450|B|1960s: an old couple's bedroom with the same wooden dresser, family photos on top|slow push-in|MS|WIN|NOS|
451|P|a craftsman carving wood|slow push-in|CU|WIN|PRIDE|fsa:furniture maker;fsa:woodworker
452|F|hands sanding and finishing hardwood|hands finish the wood|CU|WIN|PRIDE|prelinger:woodworking;prelinger:furniture making
453|C|1960s: a furniture worker carrying a handmade chair into his small house as his wife holds the door|he carries the chair in|MS|DAY|PRIDE|
454|B|1960s: a small living room furnished with handmade wooden pieces, a man sitting proudly in his rocker|he rocks slowly|MS|WIN|PRIDE|
455|G|Cream graph-paper board, bar IMPORTS FROM CHINA rising sharply, label EARLY 2000s|bar rises|TOP|||
456|S|a large modern mass-production furniture factory|slow pan|WS|FLUOR|COLD|pexels:furniture factory;pexels:factory production line
457|R|2000s: a big-box furniture showroom full of identical bedroom sets|a salesman walks by|WS|FLUOR|COLD|
458|R|2000s: a store worker rolling boxed furniture onto the showroom floor|he pushes the cart|MS|FLUOR|COLD|
459|G|Cream graph-paper board, counter TENS OF THOUSANDS OF JOBS GONE|counter rolls|TOP|||
460|S|an abandoned factory in the hills|slow push-in|WS|OVC|STARK|pexels:abandoned factory;pexels:abandoned furniture factory
461|B|1960s: a solid wooden dining table set for dinner in an empty room, chairs pushed in|slow push-in|WS|WIN|QUIET|
462|S|a flat-pack furniture box on a floor|slow push-in|CU|FLUOR|COLD|pexels:flat pack furniture box;pexels:cardboard box furniture
463|G|Cream graph-paper board, label PATTERN BREAK #3, four pinned photos: meatpacker, trucker, brewery, furniture|photos pin in|TOP|||
464|P|a truck driver portrait|slow push-in|MS|DAY|PRIDE|fsa:truck driver;fsa-color:truck driver
465|G|Cream graph-paper board, a robot icon with a red cross, label NOT REPLACED BY A MACHINE|stamp thumps|TOP|||
466|S|trucks rolling down a highway today|slow push-in|WS|DAY|QUIET|pexels:semi truck highway
467|S|beer poured from a tap|slow push-in|CU|TUNG|QUIET|pexels:beer tap pour
468|G|Cream graph-paper board, wage line falling from the 1970s to the 2000s, label THE PAY|the line falls|TOP|||
469|R|1980s: men in dark suits around a boardroom table, CRT monitors on the wall and a map of the United States|they study papers|OTS|FLUOR|COLD|
470|R|1980s: a hand drawing a red line through a column of a printed ledger, no readable text|the pen strikes through|CU|FLUOR|COLD|
471|G|Cream graph-paper board, three cards slide in DEREGULATION • TRADE DEALS • MERGERS|cards slide in|TOP|||
472|R|1980s: a hand signing a document at a desk with flags behind, face not visible|the pen signs|CU|TUNG|COLD|
473|B|1970s: a kitchen table with a pay stub and a pile of bills, a man's hands spread over them|his hands press down|CU|TUNG|GRIEF|
474|C|1980s: a couple at their kitchen table at night counting a thin paycheck|she shakes her head|OTS|TUNG|GRIEF|
475|G|Cream graph-paper board, label THE ONE-INCOME FAMILY framed like a memorial plaque|label builds|TOP|||
476|S|paper being torn in two|slow push-in|CU|TUNG|COLD|pexels:tearing paper;pexels:ripping paper
477|G|Cream graph-paper board, numbers 4 • 3 • 2 • 1 flash, label THE FOUR BIGGEST|numbers flash|TOP|||
478|G|Grey graph-paper board, giant semi-transparent #4, curved label STEELWORKER arcing over a cut-out hard hat|number slams in, hat slides in|TOP|||
479|P|steelworkers' houses in a mill town|slow push-in|WS|OVC|NOS|fsa:steel town houses;fsa:steelworker home
480|F|molten steel pouring in a mill|molten steel pours|WS|FIRE|PRIDE|prelinger:steel mill;prelinger:steel making
481|G|Cream graph-paper board, counter ≈ 500,000 STEELWORKERS · 1960s|counter rolls|TOP|||
482|P|steel mills along a river|slow pan|WS|OVC|PRIDE|loc:Pittsburgh steel mills;fsa:steel mill
